workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1121593,2013-04-10 16:44:00,2013-04-12 14:26:00,N523ND,4837.3,7200.0,A/C DIED DURING IDLE CK.,2013-04-12,REMOVED & REPLACED FUEL SERVO W/ S/N 70AD7610. RAN A/C & ADJUSTED MIXTURE & THROTTLE TO SPECS.,c_31,mixture adjust mixture control
1121739,2013-04-17 06:47:00,2013-04-17 11:24:00,N526ND,8097.3,7610.0,IDLE MIXTURE RISE IS LOW.,2013-04-17,ADJUSTED MIXTURE TO SPECS.,c_31,mixture adjust mixture control
1121817,2013-04-19 13:04:00,2013-04-19 13:54:00,N568ND,7241.700000000001,7200.0,"WHILE ADJUSTING MIXTURE, A/C WOULD START TO QUIT @ 1450.",2013-04-19,PERFORMED ENGINE RUN. COULD NOT DUPLICATE. NO DEFECTS NOTED.,c_31,mixture adjust mixture control
1121938,2013-04-23 07:15:00,2013-04-23 10:48:00,N545ND,8538.8,7410.0,"ON RUN UP, R/H MAG RPM QUICKLY DROPPED 250 RPM.",2013-04-23,"RAN A/C, LEANED MIXTURE TO CLEAN FOULING FROM PLUGS. MAG CK GOOD.",c_31,mixture adjust mixture control
1122083,2013-04-27 10:40:00,2013-04-29 13:54:00,N563ND,8367.1,7610.0,NO IDLE RISE AT IDLE CUT OFF.,2013-04-27,ADJUSTED MIXTURE.,c_31,mixture adjust mixture control
1122114,2013-04-29 06:52:00,2013-04-29 13:22:00,N516ND,11996.6,7600.0,MIXTURE CONTROL WORKS HARD.,2013-04-29,LUBED MIXTURE CONTROL.,c_31,mixture adjust mixture control
1122115,2013-04-29 07:01:00,2013-04-29 10:40:00,N514ND,12980.3,7310.0,IDLE RPM LOW W/ 140 RPM RISE. IDLE @ 380 RPM.,2013-04-29,ADJUSTED IDLE SP & MIXTURE.,c_31,mixture adjust mixture control
1122210,2013-05-01 06:51:00,2013-05-02 11:15:00,N546ND,7520.099999999999,7100.0,ENG CHANGE DUE.,2013-05-02,"COMPLETED ENGINE INSTALLATION. PRE-OILED, RAN A/C, SET IDLE & MIXTURE. OPS & LEAK CK GOOD. SEE W/O #1122274 FOR MAINTENANCE FLIGHT.",c_31,mixture adjust mixture control
1122309,2013-05-03 06:47:00,2013-05-03 15:17:00,N570ND,8202.2,7100.0,IDLE RPM IS HIGH & NO RISE ON IDLE MIXTURE CHECK.,2013-05-03,ADJUSTED IDLE RPM & MIXTURE RISE TO SPECS FOR SEASONAL CONDITIONS.,c_31,mixture adjust mixture control
1122317,2013-05-03 10:19:00,2013-05-10 10:17:00,N606ND,29.400000000000002,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS DUE. EFF DATE 4/20/01.",2013-05-09,"CHECKED IDLE RPM & IDLE MIXTURE IAW AD, SETTINGS CHECK GOOD. NO ADJUSTMENT REQUIRED.",c_31,mixture adjust mixture control
